Pool,Protocol,Network,TVL (mm),15-day Fees APR,1 day farming APR,Total APR,Projected 1yr - Impermanent loss,Assets price change,Risk factor,Data Validation,Net Yield
ETH/BNT,Bancor,ethereum,376.9,0.61%,0.0%,0.61%,-0.42%,24.39%,5.0%,0.00,24.58%
ETH2x-FLI/WETH,Uniswap-v3,ethereum,31.7,29.38%,0.0%,29.38%,0.0%,25.0%,0.0%,1.00,54.38%
FARM/BNT,Bancor,ethereum,6.8,5.06%,0.0%,5.06%,-8.58%,24.39%,0.0%,1.00,20.87%
FEI / ETH,uniswap-v2,ethereum,264.9,5.34%,0.0%,5.34%,-7.8%,25.0%,0.0%,1.00,22.55%
FLX / ETH,uniswap-v2,ethereum,27.9,2.85%,0.0%,2.85%,0.0%,25.0%,0.0%,1.00,27.85%
FRAX/USDC,Uniswap-v3,ethereum,81.3,0.62%,0.0%,0.62%,-0.18%,12.5%,0.0%,1.00,12.94%
FTM/WETH,Uniswap-v3,ethereum,21.4,163.05%,0.0%,163.05%,-23.74%,16.58%,5.0%,0.00,155.89%
Frax Curve,curve,ethereum,435.3,0.09%,8.35%,8.43%,0.0%,25.0%,0.0%,1.00,33.43%
GNO/BNT,Bancor,ethereum,0.6,1.77%,0.0%,1.77%,-1.67%,21.62%,0.0%,1.00,21.72%
GRT/BNT,Bancor,ethereum,5.8,2.18%,0.0%,2.18%,-1.76%,22.03%,7.5%,0.00,22.45%
GUSD Curve,curve,ethereum,33.1,1.32%,1.64%,2.97%,0.0%,25.0%,0.0%,1.00,27.97%
HEGIC/BNT,Bancor,ethereum,3.6,3.69%,0.0%,3.69%,0.0%,24.39%,0.0%,1.00,28.08%
HEX / USDC,uniswap-v2,ethereum,27.3,26.54%,0.0%,26.54%,-15.46%,12.5%,0.0%,1.00,23.58%
HEX/USDC,Uniswap-v3,ethereum,39.2,34.23%,0.0%,34.23%,-15.1%,12.5%,0.0%,1.00,31.63%
HOT/BNT,Bancor,ethereum,6.6,1.46%,0.0%,1.46%,-2.36%,20.92%,12.5%,0.00,20.02%
Hundred-WETH Oracle Pool,Balancer,ethereum,1.1,9.56%,0.0%,9.56%,0.0%,25.0%,0.0%,1.00,34.56%
ICHI/BNT,Bancor,ethereum,3.3,0.29%,0.0%,0.29%,0.0%,24.39%,0.0%,1.00,24.68%
ILV / ETH,sushiswap,ethereum,295.3,2.56%,1.01%,3.57%,-8.27%,21.17%,0.0%,1.00,16.47%
INST/WETH,Uniswap-v3,ethereum,15.1,4.37%,0.0%,4.37%,0.0%,25.0%,0.0%,1.00,29.37%
KTN/BNT,Bancor,ethereum,1.0,0.82%,0.0%,0.82%,0.0%,24.39%,0.0%,1.00,25.21%
LINK / ETH,sushiswap,ethereum,124.9,3.11%,2.93%,6.03%,-3.11%,22.2%,2.5%,0.00,25.13%
LINK / ETH,uniswap-v2,ethereum,61.7,3.16%,0.0%,3.16%,-3.3%,22.2%,2.5%,0.00,22.07%
LINK/BNT,Bancor,ethereum,294.0,1.23%,0.0%,1.23%,-2.27%,21.6%,7.5%,0.00,20.56%
LINK/WETH,Uniswap-v3,ethereum,34.1,15.71%,0.0%,15.71%,-2.97%,22.2%,2.5%,0.00,34.94%
LP Element Principal Token yvUSDC-28JAN22,Balancer,ethereum,9.8,81.42%,0.0%,81.42%,0.0%,12.5%,0.0%,1.00,93.92%
LP Element Principal Token yvUSDC-29OCT21,Balancer,ethereum,25.9,86.78%,0.0%,86.78%,0.0%,12.5%,0.0%,1.00,99.28%
LPL/BNT,Bancor,ethereum,1.4,2.11%,0.0%,2.11%,-21.59%,24.39%,0.0%,1.00,4.92%
LUSD Curve,curve,ethereum,118.8,0.9%,1.18%,2.08%,0.0%,25.0%,0.0%,1.00,27.08%
MANA/BNT,Bancor,ethereum,0.9,0.63%,0.0%,0.63%,-2.68%,22.24%,12.5%,0.00,20.19%
MATIC/BNT,Bancor,ethereum,13.6,1.8%,0.0%,1.80%,-3.48%,20.99%,10.0%,0.00,19.31%
MATIC/WETH,Uniswap-v3,ethereum,13.9,23.88%,0.0%,23.88%,-3.56%,21.6%,5.0%,0.00,41.92%
MIM Curve,curve,ethereum,1838.6,0.29%,4.32%,4.62%,0.0%,25.0%,0.0%,1.00,29.62%
MIST / ETH,uniswap-v2,ethereum,43.3,12.75%,0.0%,12.75%,0.0%,25.0%,0.0%,1.00,37.75%
MKR / ETH,sushiswap,ethereum,30.9,4.44%,2.36%,6.80%,-1.55%,22.86%,0.0%,0.00,28.11%
MKR / ETH,uniswap-v2,ethereum,23.0,5.05%,0.0%,5.05%,-1.63%,22.86%,0.0%,0.00,26.29%
MKR/BNT,Bancor,ethereum,9.0,1.54%,0.0%,1.54%,-1.56%,22.26%,5.0%,0.00,22.23%
MLN/BNT,Bancor,ethereum,3.2,5.86%,0.0%,5.86%,-26.19%,12.86%,0.0%,1.00,-7.48%
MONA/BNT,Bancor,ethereum,0.9,0.44%,0.0%,0.44%,-0.1519523226,24.39%,0.0%,1.00,9.63%
MPH/BNT,Bancor,ethereum,3.1,1.75%,0.0%,1.75%,0.0%,24.39%,0.0%,1.00,26.14%
MTA/BNT,Bancor,ethereum,1.8,3.3%,0.0%,3.30%,-12.63%,24.39%,0.0%,1.00,15.06%
NDX/BNT,Bancor,ethereum,3.5,1.5%,0.0%,1.50%,0.0%,24.39%,0.0%,1.00,25.9%
NMR/BNT,Bancor,ethereum,0.7,4.44%,0.0%,4.44%,-2.51%,20.26%,0.0%,1.00,22.19%
NOIA/BNT,Bancor,ethereum,2.2,1.47%,0.0%,1.47%,-4.3%,20.48%,0.0%,1.00,17.65%
OCEAN/BNT,Bancor,ethereum,13.2,2.08%,0.0%,2.08%,-2.76%,22.46%,0.0%,1.00,21.79%
OHM / DAI,sushiswap,ethereum,245.1,24.73%,6.17%,30.90%,-13.99%,12.5%,0.0%,1.00,29.41%
OMG/BNT,Bancor,ethereum,1.4,11.62%,0.0%,11.62%,-22.26%,13.87%,22.5%,0.00,3.24%
OPIUM/BNT,Bancor,ethereum,1.0,0.84%,0.0%,0.84%,-21.9%,24.39%,0.0%,1.00,3.33%
PAR 50 - USDC 50 Balancer Pool,Balancer,ethereum,3.1,5.28%,0.0%,5.28%,0.0%,12.5%,0.0%,1.00,17.78%
PAR 50 - WETH 50 Balancer Pool,Balancer,ethereum,2.7,4.85%,0.0%,4.85%,0.0%,25.0%,0.0%,1.00,29.85%
PAXG / ETH,uniswap-v2,ethereum,23.5,3.13%,0.0%,3.13%,-8.28%,25.0%,0.0%,1.00,19.85%
QNT/BNT,Bancor,ethereum,5.4,4.58%,0.0%,4.58%,-5.21%,20.05%,15.0%,0.00,19.41%
RAI / ETH,uniswap-v2,ethereum,32.1,3.61%,0.0%,3.61%,-7.69%,25.0%,0.0%,1.00,20.91%
REN/BNT,Bancor,ethereum,20.3,3.8%,0.0%,3.80%,-30.32%,15.38%,0.0%,1.00,-11.14%
RENBTC/BNT,Bancor,ethereum,4.6,0.39%,0.0%,0.39%,-1.38%,21.52%,5.0%,0.00,20.52%
RLC/BNT,Bancor,ethereum,1.6,1.44%,0.0%,1.44%,-4.14%,20.13%,0.0%,1.00,17.44%
RNB/BNT,Bancor,ethereum,0.7,1.34%,0.0%,1.34%,0.0%,24.39%,0.0%,1.00,25.73%
ROOK/BNT,Bancor,ethereum,7.7,5.68%,0.0%,5.68%,-30.26%,24.39%,0.0%,1.00,-0.18%
RPL/BNT,Bancor,ethereum,2.0,2.15%,0.0%,2.15%,-4.19%,19.79%,5.0%,1.00,17.76%
RPL/WETH,Uniswap-v3,ethereum,25.0,6.57%,0.0%,6.57%,-4.89%,20.4%,0.0%,1.00,22.08%
RSR/BNT,Bancor,ethereum,2.1,1.95%,0.0%,1.95%,-8.74%,20.13%,0.0%,1.00,13.34%
RUNE/BNT,Bancor,ethereum,1.4,5.48%,0.0%,5.48%,-9.09%,21.26%,12.5%,0.00,17.66%
SAND / ETH,uniswap-v2,ethereum,29.1,10.09%,0.0%,10.09%,-4.07%,21.98%,0.0%,1.00,28.0%
